     TS     A1     A2
---------------------
    125     21     89
    126     76    164
    127     49     93
    128      6      2
    131     49      3
    132     16     10
    133     19     65
    134     14    152
    135     10    174
    136     48    137
    137     59     93
    138     80      2
    139     69    113
    140     20     33
    143     51    144
    144     76    135
    145     26    189
    146     28    181
    147     22     27
    148     30    106
    149     40    153
    150     78    160
    151     76    148
    152     27    124
    153     62     52
    154     36    141
    155     62     73
    156     82     24
    157     13     48
    158      9     11
    159     32     17
    160     49     80
    161     80    111
    162     22    169
    163     15    123
    164     76    149
    165     89    155
    166      3     30
    167     31    151
    168     17     70
    169     31    191
    170     42     12
    171     43     37
    172     20     25
    173     88    158
    174     75     55
    175     37    175
    176     10     38
    177     68     22
    179     76    101
    180     72     38
    181     18    134
    182     78    159
    184     67    104
    185     30    104
    186     51    155
    187     84     63
    188      5    152
    189     63      9
    192     12      6
    193      0    164
    194      6     73
    195     56    150
    196     81     75
    197     10     65
    198     45     38
    199     22    198
    200     13    189
    201     39     45
    202     63    107
    203     15    117
    204     52    128
    205      1    167
    206     51    100
    207     38      2
    208     14     93
    209     69     46
    210     53     73
    211     75    173
    213      3     71
    214     85     16
    215     25      7
    216     81     22
    217     15    111
    218     51      9
    219     30    183
    220     77      3
    221     83      1
    222     78     75

     A1     TS
--------------
     22    162
     22    147
     22    199

AVG(B2)
-------
  52.19

